Dataset,Model,class_ent,eq_num_attr,gravity,inst_to_attr,nr_attr,nr_bin,nr_class,nr_cor_attr,nr_inst,nr_norm,nr_outliers,ns_ratio,Processing Units Number,Model Capability,Solution Stochasticity,Loss Margin Behaviour,Input Distribution Modelling,Fitting Regime,MCC
BoTNeTIoT-L01,TabPFN,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,53153144,10,2,2,1,5,0.9981883340372176
BoTNeTIoT-L01,TabTransformer,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,276,7,2,2,1,3,0.976749103137232
BoTNeTIoT-L01,XGBoost,0.3976346315873243,1.5159362597633632,1.0023644171188174e+16,307069.82608695654,23,0,2,0.2134387351778656,7062606,1.0,18,12.714866030931228,204700,9,4,2,1,2,0.9998896853816356
CIC-MalMem-2022,AdaBoost,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,300,9,3,3,1,2,0.9999317382845035
CIC-MalMem-2022,Bagging,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,5859550,8,3,1,1,2,0.9997269531361056
CIC-MalMem-2022,BernoulliNB,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,112,1,1,2,3,1,0.1710843420795944
CIC-MalMem-2022,DNN,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,56,6,2,2,1,3,0.9938951621687728
CIC-MalMem-2022,DT,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,117191,5,1,1,1,2,0.9997952101935308
CIC-MalMem-2022,ExtraTree,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,117191,5,5,1,1,2,0.9997952101935308
CIC-MalMem-2022,FT-Transformer,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,256,7,2,2,1,3,0.9943361693539646
CIC-MalMem-2022,GaussianNB,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,222,1,1,2,3,1,0.982279547710444
CIC-MalMem-2022,KNN,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,165,4,1,1,2,1,0.9993856818060204
CIC-MalMem-2022,LDA,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,1650,2,1,1,4,1,0.9914671075294016
CIC-MalMem-2022,LR,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,112,3,1,2,1,2,0.991910780540764
CIC-MalMem-2022,LightGBM_ExtraTrees,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,75900,9,5,2,1,2,0.9968601883800856
CIC-MalMem-2022,LightGBM_RF,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,37500,9,4,2,1,2,0.9983275454275627
CIC-MalMem-2022,LinearSVC,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,112,3,1,4,1,2,0.9914328628889276
CIC-MalMem-2022,MLP,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,50,6,2,2,1,3,0.0211590706439579
CIC-MalMem-2022,PassiveAggressive,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,112,3,2,4,1,4,0.9881938222391932
CIC-MalMem-2022,Perceptron,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,112,3,2,5,1,4,0.9785313282775916
CIC-MalMem-2022,QDA,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,3190,2,1,1,5,1,0.9947450035323032
CIC-MalMem-2022,Ridge,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,112,3,1,1,1,1,0.991774349495124
CIC-MalMem-2022,SGD,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,112,3,2,4,1,3,0.9842683625602204
CIC-MalMem-2022,TabICL,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,27552258,10,2,2,1,5,0.9999317359546728
CIC-MalMem-2022,TabNet,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,96,7,2,2,1,3,0.8819500573959297
CIC-MalMem-2022,TabPFN,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,53153144,10,2,2,1,5,0.999965868559814
CIC-MalMem-2022,TabTransformer,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,660,7,2,2,1,3,0.9942330786817956
CIC-MalMem-2022,XGBoost,1.0,2.203656824102268,4497.612855726217,1065.3818181818183,55,3,2,0.1663299663299663,58596,6.0,52,6.143102808461819,35157300,9,4,2,1,2,0.9998634742390172
DDOS-ANL,AdaBoost,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,150,9,3,3,1,2,0.9237540218632266
DDOS-ANL,Bagging,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,216066750,8,3,1,1,2,0.9091101248696593
DDOS-ANL,BernoulliNB,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,200,1,1,2,3,1,0.8517086139235537
DDOS-ANL,DNN,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,56,6,2,2,1,3,0.0
DDOS-ANL,DT,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,2047,5,1,1,1,2,0.9256364234983824
DDOS-ANL,ExtraTree,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,2047,5,5,1,1,2,0.9257256810699436
DDOS-ANL,FT-Transformer,0.5471713450674891,3.6571314380747983,4753849.459785042,55401.74358974359,39,16,5,0.0904183535762483,2160668,0.0,21,19.577752691204036,384,7,2,2,1,3,0.9254108546097424
