Dataset,Model,class_ent,eq_num_attr,gravity,inst_to_attr,nr_attr,nr_bin,nr_class,nr_cor_attr,nr_inst,nr_norm,nr_outliers,ns_ratio,Processing Units Number,Training Operations,Prediction Operations,Active Regularization Mechanisms,Robust to Outliers,MCC
IoTID20,FT-Transformer,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,5.950642552587727,19.297401497207158,5.950642552587727,2,0,0.905489588937576
IoTID20,GaussianNB,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,5.934894195619588,17.890053726889434,4.543294782270004,0,0,0.1634087329128018
IoTID20,KNN,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,5.641907070938114,17.890053726889434,17.890053726889434,0,0,0.9614209904872364
IoTID20,LDA,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,8.445267451844648,22.433348509159437,4.543294782270004,0,0,0.646394015583644
IoTID20,LR,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,5.247024072160486,17.890053726889434,4.543294782270004,0,0,0.6819278427038041
IoTID20,LightGBM_ExtraTrees,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,9.814656338829513,26.551622821544026,8.006367567650246,0,2,0.9338248627728402
IoTID20,LightGBM_RF,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,10.532096211958502,26.551622821544026,8.66156909465459,0,2,0.988158624536636
IoTID20,LinearSVC,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,5.247024072160486,17.890053726889434,4.543294782270004,1,0,0.6858396435875442
IoTID20,MLP,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,3.912023005428146,17.258781950047577,3.912023005428146,1,0,0.2567950889454918
IoTID20,PassiveAggressive,0.3432644495341364,7.832829573088412,4639124.206861703,6657.265957446809,94,25,2,0.0597117364447494,625783,14.0,68,43.72031911100076,5.247024072160486,17.890053726889434,4.543294782270004,1,1,0.491990774854609
